0.000	1.953
3.139	5.247
5.919	8.532
9.048	12.644
12.945	13.700
14.316	14.893
15.342	20.373
20.683	23.018
23.436	24.602
25.354	30.530
31.213	31.391
31.802	34.891
35.252	36.946
37.422	38.187
38.523	44.834
45.876	46.732
47.780	49.335
51.067	52.153
53.046	59.729
60.243	63.289
64.478	69.138
69.692	71.357
71.997	73.177
73.779	75.747
76.265	77.447
77.926	80.948
81.705	81.878
82.203	84.372
86.135	87.049
88.117	89.635
90.112	91.305
91.814	94.137
94.875	97.511
97.963	100.001
100.342	112.723
113.087	120.782
122.234	122.953
123.396	127.369
127.697	131.633
132.379	136.679
137.776	140.962
141.625	144.826
